District,Route Name,Beneficiary Villages,School Name,Bus Number
"Chhotaudepur","chhota udaypur 
chalamdi nasvali","piplej/singla/panvad/karajwant/dungarwat/kawant/motisadhli/dewat/aathadungri/wagach/bhakha/boriyad/nasvadi/chalamali","MATRU SHREE AMARATBA BHAGAT HIGH SCHOOL CHALAMALI","(14) GJ-18-ZT-2743"
"Chhotaudepur","chhota udaypur 
kalipani night","singla/panvad/dungam/kawant/motichikhli/bunjar/raysingpura/mogra/kadipani/hamirpura","MATRU SHREE AMARATBA BHAGAT HIGH SCHOOL CHALAMALI","(13) GJ-18-ZT-2883"
"Chhotaudepur","chhota udaypur 
kalarani ferkuva","runwad/surkheda/devhat/motisadli/rangpur/ferkuva/gelvat dhandhoda/tejgad/jetpur/kalarani","સરકારી માધ્યમિક અને ઉચ્ચતર માધ્યમિક શાળા, કેવડી","(11) GJ-18-ZT-2932"
"Chhotaudepur","Chhotaudepur
ukhalvant","vanar/zer/drigam/chamduvat/atroli/koli/ukhalvat","સરકારી ઉચ્ચત્તર માધ્યમિક શાળા, પાનવડ","(7) GJ-18-ZT-2823"
"Dahod","દાહોદ - ઉચવાણીયા-દાહોદ","ગુંદીખેડા-રાછરડા-ટીમરડા-લીમડાબરા આશ્રમ - લીમડાબરા ગામતળ - ઉચવાણીયા","Pragati Madhyamik School Uchavaniya","GJ- 18- ZT-2976"
"Dahod","દાહોદ - કતવારા-દાહોદ","પુંસરી - જાલત - ગમલા - કતવારા","OM SHRI YOGESHWAR VIDHYALAY, JALAT","GJ- 18- ZT-2934"
"Dahod","દાહોદ - ખંગેલા-દાહોદ","પુંસરી - જાલત - ગમલા - કતવારા -કઠલા-વડબારા-ખંગેલા ","OM SHRI YOGESHWAR VIDHYALAY, JALAT","GJ- 18- ZT-2986"
"Dahod","દાહોદ - બોરડી-દાહોદ","ચંદવાણા -રેલ્વે બ્રીજ વાવડી-તરવાડીયાભાઉ - તરવાડીયાહીંમત ","મહાલક્ષ્મી માધ્યમિક અને ઉચ્ચતર માધ્યમિક શાળા ચંદવાણા","GJ- 18- ZT-2988"
"Dahod","બારીયા -  પહાડ ","પહાડ ","એમ એન્ડ એન બ્રધર્સ હાઇસ્કૂલ, બાંડીબાર ","GJ-18-ZT-2491"
"Dahod","દાહોદ -નવાગામ-તણછિયા-દાહોદ","ખરેડી, રાણાપુર, નવાગામ,ઉગમણા ફળિયા, રવાડી ખેડા, જુના પાણી, તણછિયા","આદિવાસી સેકન્ડરી એન્ડ હાયર સેકન્ડરી સ્કુલ, નવાગામ","GJ- 18- ZT-2675"
"Dahod","દાહોદ - ખંગેલા-દાહોદ","પુંસરી - જાલત - ગમલા - કતવારા -કઠલા-વડબારા-ખંગેલા ","સ્વ.એસ.વી.હાડા માં.અને.ઉ.માં.શાળા કતવારા","GJ- 18- ZT-2986"
"Dahod","દાહોદ - નીમચ-ગુલબાર-દાહોદ","ગુલબાર-જામ્બવા-નીમચ-કળસિયા-ઝરી ચોકડી-ગરબાડા","ઘી ન્યૂ સાર્વજનિક હાઈસ્કૂલ ગરબાડા ","GJ- 18- ZT-2941"
"Dahod","દાહોદ - નીમચ-ગુલબાર-દાહોદ","ગુલબાર-જામ્બવા-નીમચ-કળસિયા-ઝરી ચોકડી-ગરબાડા","માધ્યમિક શાળા ગરબાડા ","GJ- 18- ZT-2941"
"Dahod","દાહોદ-મીનાક્યાર-દાહોદ","મીનાક્યાર-પાટીયાઝોલ- ભીલવા-ગરબાડા","માધ્યમિક શાળા ગરબાડા","GJ- 18- ZT-2925"
"Dahod","દાહોદ - ગાંગરડી -મંડોર-દાહોદ","નવાનગર-મંડોર-કાળાખુંટ-આંબાકાચ-વાંકોટા-નાનીમલુ-વાસીયાડુંગ્રી--ધનાર પાટિયા-બાટણપુરા","શ્રી કે. આર. પંચાલ કન્યા વિદ્યાલય ગાંગરડી","GJ- 18- ZT-2633"
"Dahod","દાહોદ - ગાંગરડી - ઇટાવા-મંડોર-દાહોદ","ખરજ - વરમખેડા - દેવધા - પાંચવાડા - સહાડા - ખારવા - ગરબાડા - નળવઇ - ગાંગરડી - ઇટાવા - નવાનગર-વાસીયાડુંગરી - મંડોર","શ્રી જે.કે.એમ તન્ના હાઇસ્કુલ, ગાંગરડી ","GJ- 18- ZT-2604"
"Dahod","જલાઈ-જગોલા-ફતેપુરા ","જલઇ, જગોલા, વાંદરીયા, નવાતળાવ, છાલોર, ફતેપુરા","આદિવાસી ઉ.મા.શાળ। છાલોર","GJ-18-ZT-2783"
"Dahod","ફતેપુરા- પાટવેલ- આ૫તળાઇ","પાટવેલ,  આપતળાઈ, નવાગામ, પીપલરા,","જાગૃતિ કન્યા વિદ્યાલય ફતેપુરા ","GJ-18-ZT-2807"
"Dahod","ઝાલોદ-ઘુઘસ-ફતેપુરા ","વાવડી પૂર્વ, ઢઢેલા, મોટીબારા, ગરાડું, વાંગડ, ડુંગરા, માઘવા, ઘુઘસ, નાની બારા, ડુંગરાના પાણી, કરમેલ, નાની ચારોલી","જાગૃતિ કન્યા વિદ્યાલય ફતેપુરા ","GJ- 18- ZT-2706"
"Dahod","જલાઈ-જગોલા-ફતેપુરા ","જલઇ, જગોલા, વાંદરીયા, નવાતળાવ, છાલોર, ફતેપુરા","જાગૃતિ કન્યા વિદ્યાલય ફતેપુરા ","GJ-18-ZT-2783"
"Dahod","ગડરા -ડુંગર-વડવાસ -ફતેપુરા","ગડરા, વડવાસ, નવાગામ, ડુંગર","જાગૃતિ કન્યા વિદ્યાલય ફતેપુરા ","GJ- 18- ZT-2781"
"Dahod","ફતેપુરા- પાટવેલ- આ૫તળાઇ","પાટવેલ,  આપતળાઈ, નવાગામ, પીપલરા,","સરકારી ઉરચતર માધ્યમિક શાળા (વિજ્ઞાન પ્રવાહ) ફતેપુરા ","GJ-18-ZT-2807"
"Dahod","ગડરા -ડુંગર-વડવાસ -ફતેપુરા","ગડરા, વડવાસ, નવાગામ, ડુંગર","શ્રી પ્રગતિ માધ્યમિક શાળા ડુંગર","GJ- 18- ZT-2781"
"Dahod","ઝાલોદ-ઘુઘસ-વાંગડ મોડેલ સ્કુલ","ઘુઘસ, મોટી શેરો, મોટી ચરોલી, ઇંટા","PM SHRI MODEL SCHOOL FATEPURA (VANGAD)","GJ-18-ZT-2814"
"Dahod","ઝાલોદ-લીમડી- ચાકલીયા","ખરસોડ, મુંડાહેડા, મોટી મહુડી, ઘોળાખાખરા, કાળાપી૫ળ, મલવાસી, કાકરાકુવા, લીલવા ઠાકોર, ચાકલીયા","આદિવાસી કન્યા વિધ્યાલય લિમડી","GJ- 18- ZT-2755"
"Dahod","ઝાલોદ- મહુડી- કંકાસીયા","ખરસાણા, મહુડી, છાસિયા, મઘાનિસર","સર્વોદય વિદ્યાલય, મુનખોસલા","GJ- 18- ZT-6608"
"Dahod","જલાઈ-જગોલા-ફતેપુરા ","જલઇ, જગોલા, વાંદરીયા, નવાતળાવ, છાલોર, ફતેપુરા","શ્રી આઈ.કે.દેસાઈ હાઇસ્કુલ, ફતેપુરા ","GJ-18-ZT-2783"
"Dahod","ઝાલોદ-ઘુઘસ-ફતેપુરા ","વાવડી પૂર્વ, ઢઢેલા, મોટીબારા, ગરાડું, વાંગડ, ડુંગરા, માઘવા, ઘુઘસ, નાની બારા, ડુંગરાના પાણી, કરમેલ, નાની ચારોલી","શ્રી આઈ.કે.દેસાઈ હાઇસ્કુલ, ફતેપુરા ","GJ- 18- ZT-2706"
"Dahod","ફતેપુરા- પાટવેલ- આ૫તળાઇ","પાટવેલ,  આપતળાઈ, નવાગામ, પીપલરા,","શ્રી આઈ.કે.દેસાઈ હાઇસ્કુલ, ફતેપુરા ","GJ-18-ZT-2807"
"Dang","આહવા-સુબીર-પીપલદહાડ-ગારખડી","બોરખેત,ગોંડલવિહિર,કોટબા,ગાયગોઠણ,લવચાલી,સુબીર,જારસોળ,પીપલદહાડ,મોહપાડા,આમથવા,ગારખડી","સ.મા.ઉ.મા શાળા, આહવા ","GJ-18 ZT 3083"
"Dang","આહવા-ગલકુંડ-જાખાના-શામગહાન-માળુંગા અને સુર્યાબરડા-ગુંદવહળ","બોરખલ, ટેમ્બ્રુનધંર્ટા,ટાંકલીપાડા, વિહીરઆંબા, કહાનડોલધોડી, લહાનચર્યા,મોટાચર્યા, ગલકુંડ, ચીચપાડા,ધુમખલ, જાખાના,શામગહાન, નડગચોંડ, માનમોડી, માળુંગા અને સુર્યાબરડા-ગુંદવહળ","સ.મા.ઉ.મા શાળા, આહવા "," GJ 18 ZT 3450"
"Dang","આહવા-ગલકુંડ-જાખાના-શામગહાન-માળુંગા અને સુર્યાબરડા-ગુંદવહળ","બોરખલ, ટેમ્બ્રુનધંર્ટા,ટાંકલીપાડા, વિહીરઆંબા, કહાનડોલધોડી, લહાનચર્યા,મોટાચર્યા, ગલકુંડ, ચીચપાડા,ધુમખલ, જાખાના,શામગહાન, નડગચોંડ, માનમોડી, માળુંગા અને સુર્યાબરડા-ગુંદવહળ","સરકારી વિજ્ઞાન કોલેજ, આહવા-ડાંગ ","GJ 18 ZT 3450"
"Dang","આહવા-સુબીર-પીપલદહાડ-ગારખડી","બોરખેત,ગોંડલવિહિર,કોટબા,ગાયગોઠણ,લવચાલી,સુબીર,જારસોળ,પીપલદહાડ,મોહપાડા,આમથવા,ગારખડી","સરકારી વિનયન અને વાણિજ્ય કોલેજ, આહવા-ડાંગ","GJ-18 ZT 3083"
"Dang","આહવા-ગલકુંડ-જાખાના-શામગહાન-માળુંગા અને સુર્યાબરડા-ગુંદવહળ","બોરખલ, ટેમ્બ્રુનધંર્ટા,ટાંકલીપાડા, વિહીરઆંબા, કહાનડોલધોડી, લહાનચર્યા,મોટાચર્યા, ગલકુંડ, ચીચપાડા,ધુમખલ, જાખાના,શામગહાન, નડગચોંડ, માનમોડી, માળુંગા અને સુર્યાબરડા-ગુંદવહળ","સરકારી આર્ટસ એન્ડ કોમર્સ, આહવા-ડાંગ"," GJ 18 ZT 3450"
"Dang","આહવા-સુબીર-પીપલદહાડ-ગારખડી","બોરખેત,ગોંડલવિહિર,કોટબા,ગાયગોઠણ,લવચાલી,સુબીર,જારસોળ,પીપલદહાડ,મોહપાડા,આમથવા,ગારખડી","આ.ટી.આઇ આહવા 

","GJ-18 ZT 3083"
"Dang","આહવા-ગલકુંડ-જાખાના-શામગહાન-માળુંગા અને સુર્યાબરડા-ગુંદવહળ","બોરખલ, ટેમ્બ્રુનધંર્ટા,ટાંકલીપાડા, વિહીરઆંબા, કહાનડોલધોડી, લહાનચર્યા,મોટાચર્યા, ગલકુંડ, ચીચપાડા,ધુમખલ, જાખાના,શામગહાન, નડગચોંડ, માનમોડી, માળુંગા અને સુર્યાબરડા-ગુંદવહળ","આ.ટી.આઇ આહવા "," GJ 18 ZT 3450"
"Dang","આહવા-સુબીર-પીપલદહાડ-ગારખડી","બોરખેત,ગોંડલવિહિર,કોટબા,ગાયગોઠણ,લવચાલી,સુબીર,જારસોળ,પીપલદહાડ,મોહપાડા,આમથવા,ગારખડી"," સરકારી વિજ્ઞાન કોલેજ, આહવા-ડાંગ","GJ-18 ZT 3083"
"Mahisagar","પાણીયાર-સંતરામપુર","ભૂગડ","આદિવાસી માં.શાળાચિતવા ","GJ18ZT2676"
